x:0.924933, y:-0.083091, z:0.370937, w:0.000000
x:-0.488449, y:0.868743, z:0.081875, w:0.000000
x:-0.455724, y:0.882492, z:-0.116295, w:0.000000
x:-0.412198, y:0.881432, z:-0.230589, w:0.000000
x:-0.365743, y:0.875748, z:-0.315116, w:0.000000
x:-0.318107, y:0.867614, z:-0.382171, w:0.000000
x:-0.270039, y:0.857939, z:-0.437057, w:0.000000
x:-0.221927, y:0.847176, z:-0.482743, w:0.000000
x:-0.174020, y:0.835613, z:-0.521025, w:0.000000
x:-0.126474, y:0.823418, z:-0.553161, w:0.000000
x:-0.079400, y:0.810712, z:-0.580036, w:0.000000
x:-0.032885, y:0.797585, z:-0.602309, w:0.000000
x:0.013016, y:0.784085, z:-0.620517, w:0.000000
x:0.058249, y:0.770260, z:-0.635064, w:0.000000
x:0.102772, y:0.756150, z:-0.646278, w:0.000000
x:0.146554, y:0.741770, z:-0.654446, w:0.000000
x:0.189567, y:0.727139, z:-0.659798, w:0.000000
x:0.231785, y:0.712269, z:-0.662532, w:0.000000
x:0.273182, y:0.697174, z:-0.662813, w:0.000000
x:0.313740, y:0.681848, z:-0.660796, w:0.000000
x:0.353436, y:0.666304, z:-0.656598, w:0.000000
x:0.392253, y:0.650534, z:-0.650341, w:0.000000
x:0.430169, y:0.634536, z:-0.642120, w:0.000000
x:0.467165, y:0.618314, z:-0.632016, w:0.000000
x:0.503222, y:0.601853, z:-0.620113, w:0.000000
x:0.538318, y:0.585151, z:-0.606475, w:0.000000
x:0.572432, y:0.568190, z:-0.591169, w:0.000000
x:0.605541, y:0.550969, z:-0.574241, w:0.000000
x:0.637622, y:0.533464, z:-0.555747, w:0.000000
x:0.668647, y:0.515670, z:-0.535719, w:0.000000
x:0.698590, y:0.497560, z:-0.514205, w:0.000000
x:0.727419, y:0.479121, z:-0.491228, w:0.000000
x:0.755102, y:0.460326, z:-0.466820, w:0.000000
x:0.781604, y:0.441156, z:-0.440996, w:0.000000
x:0.806882, y:0.421576, z:-0.413781, w:0.000000
x:0.830893, y:0.401554, z:-0.385190, w:0.000000
x:0.853589, y:0.381056, z:-0.355222, w:0.000000
x:0.874912, y:0.360035, z:-0.323889, w:0.000000
x:0.894801, y:0.338446, z:-0.291180, w:0.000000
x:0.913183, y:0.316230, z:-0.257089, w:0.000000
x:0.929977, y:0.293319, z:-0.221598, w:0.000000
x:0.945087, y:0.269634, z:-0.184683, w:0.000000
x:0.958401, y:0.245080, z:-0.146297, w:0.000000
x:0.969785, y:0.219540, z:-0.106393, w:0.000000
x:0.979076, y:0.192866, z:-0.064906, w:0.000000
x:0.986075, y:0.164878, z:-0.021721, w:0.000000
x:0.990526, y:0.135334, z:0.023288, w:0.000000
x:0.992098, y:0.103911, z:0.070313, w:0.000000
x:0.990335, y:0.070155, z:0.119648, w:0.000000
x:0.984581, y:0.033389, z:0.171712, w:0.000000
x:0.973804, y:-0.007490, z:0.227264, w:0.000000
x:0.956175, y:-0.054508, z:0.287679, w:0.000000
x:0.927576, y:-0.112405, z:0.356325, w:0.000000
x:0.870435, y:-0.202377, z:0.448762, w:0.000000
x:-0.541739, y:0.840545, z:-0.001970, w:0.000000
x:-0.504146, y:0.847437, z:-0.166393, w:0.000000
x:-0.459376, y:0.845029, z:-0.273679, w:0.000000
x:-0.412175, y:0.838932, z:-0.355394, w:0.000000
x:-0.363948, y:0.830750, z:-0.421184, w:0.000000
x:-0.315352, y:0.821219, z:-0.475556, w:0.000000
x:-0.266743, y:0.810726, z:-0.521125, w:0.000000
x:-0.218348, y:0.799508, z:-0.559564, w:0.000000
x:-0.170317, y:0.787722, z:-0.592019, w:0.000000
x:-0.122755, y:0.775469, z:-0.619338, w:0.000000
x:-0.075742, y:0.762826, z:-0.642152, w:0.000000
x:-0.029338, y:0.749849, z:-0.660959, w:0.000000
x:0.016406, y:0.736579, z:-0.676153, w:0.000000
x:0.061453, y:0.723046, z:-0.688061, w:0.000000
x:0.105773, y:0.709267, z:-0.696960, w:0.000000
x:0.149334, y:0.695264, z:-0.703070, w:0.000000
x:0.192117, y:0.681040, z:-0.706594, w:0.000000
x:0.234095, y:0.666613, z:-0.707691, w:0.000000
x:0.275249, y:0.651986, z:-0.706507, w:0.000000
x:0.315560, y:0.637161, z:-0.703170, w:0.000000
x:0.355010, y:0.622135, z:-0.697794, w:0.000000
x:0.393581, y:0.606909, z:-0.690474, w:0.000000
x:0.431256, y:0.591479, z:-0.681301, w:0.000000
x:0.468015, y:0.575842, z:-0.670349, w:0.000000
x:0.503840, y:0.559988, z:-0.657691, w:0.000000
x:0.538713, y:0.543913, z:-0.643387, w:0.000000
x:0.572611, y:0.527607, z:-0.627493, w:0.000000
x:0.605515, y:0.511060, z:-0.610057, w:0.000000
x:0.637401, y:0.494257, z:-0.591126, w:0.000000
x:0.668245, y:0.477187, z:-0.570738, w:0.000000
x:0.698020, y:0.459833, z:-0.548927, w:0.000000
x:0.726699, y:0.442178, z:-0.525725, w:0.000000
x:0.754250, y:0.424200, z:-0.501159, w:0.000000
x:0.780641, y:0.405878, z:-0.475250, w:0.000000
x:0.805832, y:0.387188, z:-0.448019, w:0.000000
x:0.829784, y:0.368100, z:-0.419478, w:0.000000
x:0.852450, y:0.348582, z:-0.389640, w:0.000000
x:0.873781, y:0.328599, z:-0.358510, w:0.000000
x:0.893720, y:0.308110, z:-0.326088, w:0.000000
x:0.912202, y:0.287069, z:-0.292369, w:0.000000
x:0.929152, y:0.265414, z:-0.257354, w:0.000000
x:0.944489, y:0.243086, z:-0.221019, w:0.000000
x:0.958114, y:0.220005, z:-0.183345, w:0.000000
x:0.969913, y:0.196082, z:-0.144296, w:0.000000
x:0.979750, y:0.171205, z:-0.103824, w:0.000000
x:0.987461, y:0.145237, z:-0.061870, w:0.000000
x:0.992844, y:0.118004, z:-0.018349, w:0.000000
x:0.995644, y:0.089283, z:0.026848, w:0.000000
x:0.995533, y:0.058775, z:0.073892, w:0.000000
x:0.992063, y:0.026066, z:0.123011, w:0.000000
x:0.984601, y:-0.009451, z:0.174564, w:0.000000
x:0.972174, y:-0.048739, z:0.229135, w:0.000000
x:0.953128, y:-0.093488, z:0.287761, w:0.000000
x:0.924028, y:-0.147346, z:0.352790, w:0.000000
x:0.873889, y:-0.222450, z:0.432244, w:0.000000
x:-0.590710, y:0.805328, z:-0.050093, w:0.000000
x:-0.551170, y:0.809608, z:-0.201857, w:0.000000
x:-0.505678, y:0.806620, z:-0.306029, w:0.000000
x:-0.457970, y:0.800442, z:-0.386725, w:0.000000
x:-0.409301, y:0.792402, z:-0.452295, w:0.000000
x:-0.360280, y:0.783133, z:-0.506854, w:0.000000
x:-0.311251, y:0.772982, z:-0.552831, w:0.000000
x:-0.262431, y:0.762160, z:-0.591813, w:0.000000
x:-0.213965, y:0.750809, z:-0.624904, w:0.000000
x:-0.165964, y:0.739033, z:-0.652906, w:0.000000
x:-0.118498, y:0.726890, z:-0.676453, w:0.000000
x:-0.071634, y:0.714444, z:-0.696016, w:0.000000
x:-0.025413, y:0.701717, z:-0.712002, w:0.000000
x:0.020122, y:0.688752, z:-0.724718, w:0.000000
x:0.064941, y:0.675563, z:-0.734437, w:0.000000
x:0.109018, y:0.662166, z:-0.741385, w:0.000000
x:0.152327, y:0.648572, z:-0.745755, w:0.000000
x:0.194849, y:0.634789, z:-0.747715, w:0.000000
x:0.236563, y:0.620822, z:-0.747407, w:0.000000
x:0.277450, y:0.606680, z:-0.744957, w:0.000000
x:0.317496, y:0.592355, z:-0.740481, w:0.000000
x:0.356680, y:0.577855, z:-0.734073, w:0.000000
x:0.394989, y:0.563167, z:-0.725828, w:0.000000
x:0.432403, y:0.548299, z:-0.715818, w:0.000000
x:0.468908, y:0.533240, z:-0.704117, w:0.000000
